"SurveyId","agegrp","var","n","per","perwt"
"BF2021DHS","<15","AB",8,0.135593220338983,0.219791517768217
"BF2021DHS","<15","LB",43,0.728813559322034,0.635914859905592
"BF2021DHS","<15","MSC",6,0.101694915254237,0.103998181593424
"BF2021DHS","<15","SB",2,0.0338983050847458,0.0402954407327666
"BF2021DHS","15-19","AB",20,0.0101061141990905,0.0106349361403108
"BF2021DHS","15-19","LB",1838,0.928751894896412,0.929827738685709
"BF2021DHS","15-19","MSC",95,0.0480040424456796,0.0465159310420539
"BF2021DHS","15-19","SB",26,0.0131379484588176,0.0130213941319267
"BF2021DHS","20-24","AB",28,0.00844900422450211,0.00741525215271911
"BF2021DHS","20-24","LB",3096,0.934218467109234,0.935788387728432
"BF2021DHS","20-24","MSC",158,0.0476765238382619,0.0458062349538841
"BF2021DHS","20-24","SB",32,0.00965600482800241,0.0109901251649647
"BF2021DHS","25-29","AB",32,0.0104234527687296,0.00974601707321269
"BF2021DHS","25-29","LB",2880,0.938110749185668,0.940298922597238
"BF2021DHS","25-29","MSC",123,0.0400651465798046,0.0388694573455251
"BF2021DHS","25-29","SB",35,0.011400651465798,0.0110856029840246
"BF2021DHS","30-34","AB",23,0.00915240748109829,0.00817166773660563
"BF2021DHS","30-34","LB",2349,0.934739355352169,0.934930938757643
"BF2021DHS","30-34","MSC",110,0.0437723836052527,0.0432908331960267
"BF2021DHS","30-34","SB",31,0.0123358535614803,0.0136065603097249
"BF2021DHS","35-39","AB",21,0.013166144200627,0.0134405395752544
"BF2021DHS","35-39","LB",1451,0.909717868338558,0.904389109451774
"BF2021DHS","35-39","MSC",96,0.0601880877742947,0.0651071701526397
"BF2021DHS","35-39","SB",27,0.0169278996865204,0.0170631808203323
"BF2021DHS","40-44","AB",15,0.0248344370860927,0.0292099275526583
"BF2021DHS","40-44","LB",523,0.865894039735099,0.872822674506301
"BF2021DHS","40-44","MSC",51,0.0844370860927152,0.072815818030873
"BF2021DHS","40-44","SB",15,0.0248344370860927,0.0251515799101678
"BF2021DHS","45-49","AB",2,0.025974025974026,0.0211966148375443
"BF2021DHS","45-49","LB",62,0.805194805194805,0.810714513662492
"BF2021DHS","45-49","MSC",10,0.12987012987013,0.129771888818801
"BF2021DHS","45-49","SB",3,0.038961038961039,0.0383169826811625
"CI2021DHS","<15","AB",8,0.0952380952380952,0.0743408243647172
"CI2021DHS","<15","LB",66,0.785714285714286,0.819386253712915
"CI2021DHS","<15","MSC",10,0.119047619047619,0.106272921922368
"CI2021DHS","15-19","AB",162,0.0814889336016097,0.103342069105134
"CI2021DHS","15-19","LB",1652,0.830985915492958,0.811245977591841
"CI2021DHS","15-19","MSC",117,0.0588531187122736,0.0599563727283792
"CI2021DHS","15-19","SB",57,0.028672032193159,0.0254555805746459
"CI2021DHS","20-24","AB",134,0.0450117568021498,0.0522189827375522
"CI2021DHS","20-24","LB",2613,0.877729257641921,0.869012676786184
"CI2021DHS","20-24","MSC",175,0.0587840107490763,0.0605370107534804
"CI2021DHS","20-24","SB",55,0.0184749748068525,0.0182313297227835
"CI2021DHS","25-29","AB",99,0.034375,0.0296012841448376
"CI2021DHS","25-29","LB",2531,0.878819444444444,0.881287342474698
"CI2021DHS","25-29","MSC",194,0.0673611111111111,0.070094812832917
"CI2021DHS","25-29","SB",56,0.0194444444444444,0.0190165605475475
"CI2021DHS","30-34","AB",47,0.0207322452580503,0.0241636753236803
"CI2021DHS","30-34","LB",1999,0.88178209086899,0.872055395803547
"CI2021DHS","30-34","MSC",179,0.0789589766210851,0.0888918042804035
"CI2021DHS","30-34","SB",42,0.0185266872518747,0.0148891245923688
"CI2021DHS","35-39","AB",34,0.0228494623655914,0.0283338969172761
"CI2021DHS","35-39","LB",1284,0.862903225806452,0.857732404656036
"CI2021DHS","35-39","MSC",123,0.0826612903225806,0.0862221900517503
"CI2021DHS","35-39","SB",47,0.0315860215053763,0.0277115083749373
"CI2021DHS","40-44","AB",13,0.0262096774193548,0.027068093303415
"CI2021DHS","40-44","LB",392,0.790322580645161,0.802981350776203
