"SurveyId","agegrp","var","n","per","perwt"
"AF2015DHS","<15","LB",17,0.772727272727273,0.848387759850028
"AF2015DHS","<15","SB",1,0.0454545454545455,0.0239147984660932
"AF2015DHS","<15","TRM",4,0.181818181818182,0.127697441683879
"AF2015DHS","15-19","LB",2448,0.927272727272727,0.938212797982354
"AF2015DHS","15-19","SB",24,0.00909090909090909,0.00621545584531943
"AF2015DHS","15-19","TRM",168,0.0636363636363636,0.0555717461723268
"AF2015DHS","20-24","LB",8252,0.928338395770053,0.915854457726228
"AF2015DHS","20-24","SB",130,0.0146248171897851,0.0155812302646207
"AF2015DHS","20-24","TRM",507,0.057036787040162,0.0685643120091516
"AF2015DHS","25-29","LB",7164,0.911102632582984,0.912597577739036
"AF2015DHS","25-29","SB",138,0.0175505532239603,0.0153031214631406
"AF2015DHS","25-29","TRM",561,0.0713468141930561,0.0720993007978232
"AF2015DHS","30-34","LB",4111,0.898579234972678,0.884570432244455
"AF2015DHS","30-34","SB",76,0.0166120218579235,0.0229880099708858
"AF2015DHS","30-34","TRM",388,0.0848087431693989,0.0924415577846593
"AF2015DHS","35-39","LB",2616,0.865651886168101,0.858922490188044
"AF2015DHS","35-39","SB",64,0.0211780277961615,0.0335511812660014
"AF2015DHS","35-39","TRM",342,0.113170086035738,0.107526328545955
"AF2015DHS","40-44","LB",981,0.818181818181818,0.803057456422645
"AF2015DHS","40-44","SB",42,0.0350291909924937,0.0475285979503366
"AF2015DHS","40-44","TRM",176,0.146788990825688,0.149413945627018
"AF2015DHS","45-49","LB",211,0.77007299270073,0.823907738072187
"AF2015DHS","45-49","SB",19,0.0693430656934307,0.0518800667827848
"AF2015DHS","45-49","TRM",44,0.160583941605839,0.124212195145028
"AO2015DHS","<15","LB",83,0.912087912087912,0.887705066646824
"AO2015DHS","<15","SB",1,0.010989010989011,0.00813939108430717
"AO2015DHS","<15","TRM",7,0.0769230769230769,0.104155542268869
"AO2015DHS","15-19","LB",2453,0.952251552795031,0.94191951784233
"AO2015DHS","15-19","SB",17,0.00659937888198758,0.00528598300277195
"AO2015DHS","15-19","TRM",106,0.0411490683229814,0.0527944991548985
"AO2015DHS","20-24","LB",3672,0.959247648902821,0.949973402700443
"AO2015DHS","20-24","SB",14,0.00365726227795193,0.00505390902463371
"AO2015DHS","20-24","TRM",142,0.0370950888192267,0.044972688274923
"AO2015DHS","25-29","LB",2942,0.958306188925081,0.942896159312984
"AO2015DHS","25-29","SB",16,0.00521172638436482,0.00495948364486903
"AO2015DHS","25-29","TRM",112,0.0364820846905537,0.0521443570421475
"AO2015DHS","30-34","LB",1975,0.952725518572118,0.944792190878704
"AO2015DHS","30-34","SB",17,0.00820067534973468,0.0103725980874016
