"SurveyId","CountryId","SurveyYear","phase","vcal_1","vcal_1b","EverMW","mm2","mm8","mm9","mm16","v229","p32","SibSurvAvail","IncludePRMR","IncludeMMR","Include"
"AF2015DHS","AF",2015,"7",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"AO2015DHS","AO",2015,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"BF2010DHS","BF",2010,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"BF2021DHS","BF",2021,"8",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"BJ2006DHS","BJ",2006,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"BJ2017DHS","BJ",2017,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"BO1994DHS","BO",1994,"3",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"BO2008DHS","BO",2008,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"BR1996DHS","BR",1996,"3",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"BU2010DHS","BU",2010,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"BU2016DHS","BU",2016,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"CI2021DHS","CI",2021,"8",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CO2015DHS","CO",2015,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"DR2002DHS","DR",2002,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ET2005DHS","ET",2005,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ET2011DHS","ET",2011,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ET2016DHS","ET",2016,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"GA2019DHS","GA",2019,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"GM2013DHS","GM",2013,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"GM2019DHS","GM",2019,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"GN2005DHS","GN",2005,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"GU2015DHS","GU",2015,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID1994DHS","ID",1994,"3",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID1997DHS","ID",1997,"3",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID2003DHS","ID",2003,"4",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID2007DHS","ID",2007,"5",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID2012DHS","ID",2012,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"JO1997DHS","JO",1997,"3",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"KE1998DHS","KE",1998,"3",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"KE2003DHS","KE",2003,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"KE2008DHS","KE",2008,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"KE2014DHS","KE",2014,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"KH2010DHS","KH",2010,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"KH2014DHS","KH",2014,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"KH2021DHS","KH",2021,"8",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"KM2012DHS","KM",2012,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"LB2013DHS","LB",2013,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"LB2019DHS","LB",2019,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"LS2009DHS","LS",2009,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"LS2014DHS","LS",2014,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"MA1992DHS","MA",1992,"2",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"MA2003DHS","MA",2003,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"MD2004DHS","MD",2004,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"MD2008DHS","MD",2008,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ML2006DHS","ML",2006,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ML2012DHS","ML",2012,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ML2018DHS","ML",2018,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"MM2016DHS","MM",2016,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"MR2020DHS","MR",2020,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
